Wireshark multicast filter:
ip.dst > 229.7.7.0 && ip.dst < 229.7.7.255

[sim@MRT-host bridge_rp]$ ./main 
18:38:10.555019: Recording traffic on 229.7.7.0:4000, from .1-.250
18:38:41.939122: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:41.955906: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:41.971907: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:41.988912: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:42.004717: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:42.022368: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:42.039139: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:42.055367: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:42.071761: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:42.088646: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:42.105057: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:42.122018: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:42.138914: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:42.154422: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:42.171529: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:42.194221: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:42.205990: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:42.221752: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:42.239168: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:42.254648: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:42.272691: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:42.288592: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:42.305484: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:42.323014: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:42.337459: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:42.355427: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:42.371563: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:42.388990: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:42.406384: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:42.421230: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:42.440286: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:42.456543: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:42.471715: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:42.487826: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:42.505399: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:42.521893: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:42.538373: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:42.554697: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:42.572167: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:42.589340: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:42.605087: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:42.621265: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:42.639146: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:42.655341: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:42.671711: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:42.687889: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:42.704697: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:42.722667: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:42.737770: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:42.756245: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:42.772702: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:42.789599: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:42.805055: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:42.821656: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:42.838806: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:42.855553: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:42.871302: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:42.888790: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:42.906033: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:42.921312: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:42.938415: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:42.955750: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:42.971703: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:42.988689: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:43.004575: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:43.021910: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:43.038513: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:43.056618: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:43.073070: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:43.087822: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:43.105968: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:43.122625: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:43.137681: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:43.155802: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:43.171214: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:43.189678: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:43.205831: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:43.221964: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:43.239299: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:43.254891: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:43.272615: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:43.287766: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:43.305662: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:43.322067: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:43.339224: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:43.355596: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:43.372097: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:43.387420: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:43.404510: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:43.422394: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:43.439425: Got message from 192.168.137.129 (229.7.7.100) bytes 96
